"","Band.Number","Band.Size","Specie.Name","Specie.Code","Date","Location","Session","date2","year","month","day","location2","Habitat","session2","Body_Size","Diet","Foraging_Strata","Primary_Habitat","Habitat_Breadth","Rarity_Range_Size","Rarity_Local_Abund","Rarity_Neotrop_Abund"
"13","0A079","0A","OCHTHOECA FRONTALIS","OCFR","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","F"
"14","1185","1","BASILEUTERUS NIGROCRISTATUS","BANI","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"15","1186","1","TANGARA VASSORII","TAVA","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",3,"O","C","F",3,"L","F","F"
"16","1187","1","MYIOBORUS MELANOCEPHALUS","MYME","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"17","1188","1","HELLMAYREA GULARIS","HEGU","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","U"
"18","1189","1","DIGLOSSOPIS CYANEA","DICY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"O","C","F",2,"L","F","C"
"19","1190","1","DIGLOSSOPIS CYANEA","DICY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"O","C","F",2,"L","F","C"
"20","1191","1","BASILEUTERUS NIGROCRISTATUS","BANI","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"21","1192","1","TANGARA VASSORII","TAVA","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",3,"O","C","F",3,"L","F","F"
"22","1193","1","HELLMAYREA GULARIS","HEGU","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","U"
"23","1194","1","BASILEUTERUS NIGROCRISTATUS","BANI","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"24","1195","1","MYIOBORUS MELANOCEPHALUS","MYME","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"25","1196","1","BASILEUTERUS NIGROCRISTATUS","BANI","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"26","1A051","1A","BUARREMON TORQUATUS","BUTO","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"27","1A052","1A","ANISOGNATHUS IGNIVENTRIS","ANIG","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",4,"O","U/C","F",3,"L","F","C"
"28","1B033","1B","BASILEUTERUS CORONATUS","BACO","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"29","1B034","1B","SCYTALOPUS LATRANS","SCLA","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",3,"I","U","F",1,"L","C","C"
"30","1B035","1B","MYIOTHERETES FUMIGATUS","MYFU","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","C","F",1,"L","R","U"
"31","1B036","1B","BASILEUTERUS CORONATUS","BACO","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"32","1B037","1B","BASILEUTERUS CORONATUS","BACO","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"33","1B038","1B","BASILEUTERUS CORONATUS","BACO","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"34","2001","2","ATLAPETES LATINUCHUS","ATLA","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",4,"O","U","E",3,"L","F","C"
"35","2028","2","ATLAPETES LATINUCHUS","ATLA","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",4,"O","U","E",3,"L","F","C"
"36","4001","4","GRALLARIA SQUAMIGERA","GRSQ","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",4,"I","T","F",2,"L","U","U"
"37","A50101","RE","METALLURA TYRIANTHINA","METY","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"38","0A062","RE","OCHTHOECA FRONTALIS","OCFR","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","F"
"39","1124","RE","BASILEUTERUS CORONATUS","BACO","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"40","185","RE","TANGARA VASSORII","TAVA","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",3,"O","C","F",3,"L","F","F"
"41","7","RE","HEMISPINGUS SUPERCILIARIS","HESU","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",3,"I","C","F",3,"L","F","F"
"42","1010","RE","DIGLOSSA HUMERALIS","DIHU","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"43","1119","RE","SYNALLAXIS AZARAE","SYAZ","26-Aug-08","MASE","SEGUNDA 08",2008-08-26,2008,8,26,"Mazan","forest.prim","SEGUNDA",3,"I","U","E",2,"L","C","C"
"44","5","RE","HELLMAYREA GULARIS","HEGU","27-Aug-08","MASE","SEGUNDA 08",2008-08-27,2008,8,27,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","U","U"
"45","A52372","X","COELIGENA IRIS","COIR","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"46","A50126","X","METALLURA TYRIANTHINA","METY","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"47","A50127","X","METALLURA TYRIANTHINA","METY","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"48","A50128","X","METALLURA TYRIANTHINA","METY","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"49","A52373","X","HELIANGELUS VIOLA","HEVI","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"50","A52374","X","ERIOCNEMIS VESTITUS","ERVE","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",1,"N","U","D",1,"L","F","C"
"51","A50129","X","HELIANGELUS VIOLA","HEVI","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"52","A50130","X","METALLURA TYRIANTHINA","METY","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"53","1197","1","BASILEUTERUS CORONATUS","BACO","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"54","1198","1","BASILEUTERUS NIGROCRISTATUS","BANI","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"55","1199","1","DIGLOSSA HUMERALIS","DIHU","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"56","1A053","1A","BUARREMON TORQUATUS","BUTO","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"57","1A054","1A","CRANIOLEUCA ANTISIENSIS","CRAN","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",3,"I","M/C","F",1,"L","U","F"
"58","1A055","1A","ATLAPETES LATINUCHUS","ATLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"59","1A056","1A","ATLAPETES LATINUCHUS","ATLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"60","1A057","1A","ATLAPETES LATINUCHUS","ATLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"61","1A058","1A","BUARREMON TORQUATUS","BUTO","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"62","1A059","1A","ANISOGNATHUS IGNIVENTRIS","ANIG","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",4,"O","U/C","F",3,"L","F","C"
"63","1A060","1A","ATLAPETES LATINUCHUS","ATLA","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"64","1A061","1A","ATLAPETES LATINUCHUS","ATLA","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"65","1B039","1B","SYNALLAXIS AZARAE","SYAZ","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",3,"I","U","E",2,"L","C","C"
"66","1B040","1B","SCYTALOPUS LATRANS","SCLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"67","1B041","1B","TANGARA VASSORII","TAVA","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",3,"O","C","F",3,"L","F","F"
"68","1B042","1B","SYNALLAXIS AZARAE","SYAZ","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",3,"I","U","E",2,"L","C","C"
"69","1B043","1B","TANGARA VASSORII","TAVA","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",3,"O","C","F",3,"L","F","F"
"70","2029","2","DUBUSIA TAENIATA","DUTA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U/M","D",2,"L","R","U"
"71","4002","4","TURDUS FUSCATER","TUFU","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","T/C","F",5,"L","C","C"
"72","1A035","RE","ATLAPETES LATINUCHUS","ATLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"73","1106","RE","SYNALLAXIS AZARAE","SYAZ","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",3,"I","U","E",2,"L","C","C"
"74","A50106","RE","METALLURA TYRIANTHINA","METY","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"75","1025","RE","DIGLOSSOPIS CYANEA","DICY","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"76","1031","RE","SCYTALOPUS LATRANS","SCLA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"77","A52351","RE","ERIOCNEMIS LUCIANI","ERLU","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"78","1112","RE","BASILEUTERUS CORONATUS","BACO","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"79","1062","RE","BASILEUTERUS CORONATUS","BACO","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"80","1152","RE","BASILEUTERUS NIGROCRISTATUS","BANI","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"81","A50090","RE","ERIOCNEMIS LUCIANI","ERLU","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"82","0A035","RE","MYIOBORUS MELANOCEPHALUS","MYME","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"83","1A057","RE","ATLAPETES LATINUCHUS","ATLA","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"84","1174","RE","BASILEUTERUS CORONATUS","BACO","29-Aug-08","MAIN","SEGUNDA 08",2008-08-29,2008,8,29,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"85",NA,"UNB","ERIOCNEMIS LUCIANI","ERLU","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"86",NA,"UNB","DUBUSIA TAENIATA","DUTA","28-Aug-08","MAIN","SEGUNDA 08",2008-08-28,2008,8,28,"Mazan","forest.intro","SEGUNDA",4,"O","U/M","D",2,"L","R","U"
"87","A50131","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"88","A50132","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"89","A50133","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"90","A50134","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"91","A50135","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"92","A50136","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"93","A50137","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"94","A50138","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"95","A50139","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"96","A50140","X","METALLURA BARONI","MEBA","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"97","A50141","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"98","A50142","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"99","A50144","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"100","A50145","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"101","A50146","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"102","A50147","X","METALLURA BARONI","MEBA","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"103","A50148","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"104","A50149","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"105","A50150","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"106","A52457","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"107","A52458","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"108","A52388","X","COELIGENA IRIS","COIR","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"109","A52389","X","COELIGENA IRIS","COIR","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"110","A52293","X","PTEROPHANES CYANOPTERUS","PTCY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",2,"N","U/M","D",2,"S","R","F"
"111","A52459","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"112","A52460","X","METALLURA BARONI","MEBA","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"113","A52461","X","ERIOCNEMIS VESTITUS","ERVE","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U","D",1,"L","F","C"
"114","A52390","X","AGLAEACTIS CUPRIPENNIS","AGCU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","N",3,"L","F","C"
"115","A52462","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"116","A52463","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"117","A52464","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"118","A52465","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"119","A52466","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"120","A52467","X","METALLURA BARONI","MEBA","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"121","A52468","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"122","A52391","X","COELIGENA IRIS","COIR","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"123","A52469","X","METALLURA BARONI","MEBA","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"124","A52392","X","COELIGENA IRIS","COIR","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"125","A52470","X","CHAETOCERCUS MULSANT","CHVE","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","E",2,"L","R","F"
"126","A52471","X","METALLURA TYRIANTHINA","METY","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"127","A52472","X","ERIOCNEMIS VESTITUS","ERVE","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U","D",1,"L","F","C"
"128","A52473","X","ERIOCNEMIS LUCIANI","ERLU","30-Aug-08","LLAV","SEGUNDA 08",2008-08-30,2008,8,30,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
